WAR,OBP,SLG
3.4,0.331,0.477
-0.6,0.23,0.238
-0.8,0.224,0.348
4.6,0.407,0.583
0.1,0.667,0.4
2.0,0.312,0.433
-0.3,0.304,0.411
0.4,0.27,0.5
-0.5,0.204,0.255
-1.5,0.288,0.305
0.2,0.364,0.341
-0.1,0.235,0.133
-0.2,0.272,0.348
0.3,0.261,0.39
-0.9,0.232,0.277
-0.1,0.274,0.381
-0.7,0.125,0.128
-0.5,0.295,0.434
0.0,1.0,1.0
-0.9,0.256,0.263
-0.1,0.309,0.345
-0.2,0.115,0.042
2.5,0.342,0.43
2.4,0.315,0.467
-0.7,0.267,0.272
0.9,0.308,0.391
0.8,0.329,0.374
6.0,0.412,0.654
2.8,0.305,0.416
-0.2,0.143,0.15
-1.1,0.234,0.227
-0.1,0.258,0.399
0.2,0.329,0.359
-0.3,0.283,0.399
1.6,0.413,0.645
2.0,0.369,0.49
0.3,0.258,0.448
3.9,0.365,0.478
4.0,0.309,0.453
3.2,0.308,0.538
1.7,0.315,0.408
0.3,0.289,0.5
-0.4,0.286,0.205
3.3,0.367,0.418
5.5,0.344,0.475
0.1,0.278,0.287
-0.3,0.091,0.0
0.2,0.296,0.347
-0.1,0.266,0.368
1.1,0.302,0.351
0.0,0.264,0.347
-0.3,0.276,0.356
1.6,0.296,0.382
-0.2,0.194,0.171
0.0,0.324,0.311
2.9,0.336,0.471
0.0,0.0,0.0
0.3,0.312,0.403
0.0,0.222,0.222
2.9,0.322,0.431
4.9,0.358,0.485
0.1,0.249,0.418
0.2,0.375,0.464
1.2,0.313,0.508
0.7,0.327,0.383
0.3,0.5,0.625
0.5,0.31,0.335
0.2,0.379,0.478
2.1,0.353,0.46
0.5,0.321,0.401
0.7,0.348,0.4
1.1,0.305,0.45
0.9,0.283,0.362
5.9,0.345,0.516
5.0,0.315,0.542
0.5,0.292,0.339
0.1,0.311,0.415
-1.3,0.307,0.353
0.1,0.302,0.326
2.9,0.367,0.49
0.4,0.339,0.377
-0.2,0.216,0.219
1.2,0.302,0.586
1.2,0.311,0.404
0.2,0.258,0.4
2.7,0.318,0.429
0.6,0.267,0.325
0.2,0.329,0.583
0.2,0.295,0.431
-0.6,0.125,0.075
4.7,0.336,0.513
1.4,0.357,0.332
-0.3,0.167,0.0
1.5,0.328,0.446
-0.2,0.309,0.403
1.9,0.339,0.444
3.0,0.325,0.472
0.1,0.259,0.376
2.7,0.339,0.411
0.1,0.2,0.352
3.3,0.346,0.558
0.3,0.314,0.358
0.2,0.341,0.272
-0.4,0.263,0.264
1.4,0.338,0.445
5.4,0.369,0.517
-0.5,0.258,0.355
0.7,0.305,0.425
0.8,0.388,0.474
0.8,0.366,0.456
2.8,0.393,0.522
-0.4,0.286,0.326
2.4,0.333,0.378
-0.1,0.257,0.303
-0.4,0.319,0.342
4.4,0.319,0.495
0.8,0.34,0.37
8.3,0.408,0.579
-1.5,0.275,0.299
0.6,0.294,0.381
0.0,0.25,0.143
0.7,0.254,0.381
0.0,0.6,0.5
-0.8,0.301,0.324
0.4,0.372,0.329
2.4,0.33,0.445
0.9,0.25,0.343
0.2,0.274,0.283
0.5,0.318,0.326
0.0,0.307,0.378
2.0,0.345,0.444
-0.3,0.295,0.366
-0.6,0.306,0.316
-0.5,0.241,0.315
-0.1,0.256,0.182
-0.1,0.29,0.308
3.9,0.322,0.419
0.6,0.328,0.477
1.2,0.325,0.35
0.0,0.0,0.0
-0.3,0.233,0.304
2.4,0.372,0.548
0.0,0.206,0.242
-0.1,0.292,0.238
-0.5,0.304,0.359
-0.2,0.25,0.325
-0.2,0.229,0.256
-0.5,0.267,0.264
0.4,0.365,0.317
-0.2,0.158,0.111
0.2,0.5,1.0
1.9,0.34,0.473
2.2,0.329,0.488
-0.3,0.22,0.326
-0.5,0.247,0.386
1.4,0.312,0.399
0.1,0.259,0.353
-0.2,0.294,0.29
-1.4,0.302,0.351
0.3,0.303,0.422
-0.6,0.291,0.376
2.0,0.305,0.333
2.0,0.327,0.419
0.2,0.38,0.355
5.1,0.38,0.438
1.6,0.308,0.377
-0.3,0.235,0.214
5.5,0.322,0.449
4.9,0.393,0.469
-0.3,0.286,0.358
1.7,0.369,0.391
0.0,0.306,0.34
0.1,0.313,0.388
0.7,0.339,0.421
0.4,0.338,0.393
0.0,0.278,0.353
0.5,0.292,0.422
1.9,0.365,0.422
2.2,0.288,0.385
0.0,0.328,0.339
0.5,0.281,0.341
2.4,0.315,0.459
0.2,0.284,0.328
1.6,0.321,0.42
3.6,0.34,0.37
-0.1,0.231,0.182
0.9,0.314,0.429
0.5,0.316,0.361
5.3,0.333,0.485
-0.6,0.263,0.291
0.3,0.319,0.416
0.7,0.317,0.378
-0.2,0.317,0.338
-0.9,0.247,0.281
1.3,0.33,0.348
-0.8,0.275,0.42
-0.5,0.231,0.288
0.2,0.326,0.356
2.7,0.373,0.417
1.5,0.311,0.476
0.4,0.303,0.371
-0.1,0.297,0.258
0.0,0.0,0.0
-0.5,0.186,0.195
0.1,0.295,0.32
6.5,0.41,0.567
3.9,0.285,0.389
0.1,0.667,0.5
-0.2,0.238,0.286
-0.1,0.282,0.278
5.3,0.314,0.399
3.8,0.352,0.467
-1.1,0.253,0.367
-0.6,0.285,0.257
7.4,0.348,0.478
0.0,0.31,0.355
0.1,0.29,0.2
0.3,0.317,0.441
0.5,0.286,0.405
-0.1,0.29,0.426
0.5,0.318,0.333
0.1,0.361,0.318
0.9,0.326,0.366
4.9,0.363,0.441
-0.3,0.322,0.319
0.6,0.296,0.5
3.8,0.367,0.457
0.9,0.304,0.328
4.3,0.389,0.542
1.8,0.304,0.371
0.8,0.313,0.446
-0.9,0.216,0.279
1.6,0.285,0.3
-0.4,0.237,0.283
0.0,0.277,0.367
1.3,0.29,0.322
-0.4,0.239,0.385
0.0,0.2,0.1
-1.0,0.303,0.304
-0.9,0.28,0.337
3.3,0.315,0.468
-0.3,0.28,0.318
1.7,0.335,0.421
-0.3,0.203,0.288
1.7,0.317,0.408
0.4,0.277,0.31
1.3,0.349,0.38
0.0,0.304,0.419
0.1,0.339,0.255
-0.1,0.2,0.0
1.9,0.321,0.572
-0.1,0.0,0.0
0.0,0.0,0.0
0.9,0.339,0.443
-0.3,0.152,0.067
-0.3,0.309,0.314
2.5,0.309,0.518
-0.2,0.0,0.0
3.2,0.318,0.504
2.4,0.288,0.492
-1.0,0.313,0.367
2.3,0.364,0.406
-0.5,0.28,0.374
-0.2,0.264,0.306
-0.7,0.246,0.3
1.1,0.301,0.297
0.0,0.319,0.347
-0.1,0.293,0.392
0.0,0.328,0.25
-0.2,0.337,0.299
6.0,0.336,0.47
-0.1,0.211,0.478
4.3,0.374,0.435
2.1,0.388,0.398
0.7,0.315,0.446
0.4,0.28,0.408
-0.3,0.266,0.365
-0.2,0.279,0.413
0.1,0.278,0.363
3.5,0.351,0.5
2.4,0.344,0.405
-0.1,0.305,0.367
-0.1,0.268,0.333
-0.1,0.342,0.445
0.6,0.31,0.372
-0.3,0.125,0.133
0.4,0.353,0.383
0.0,0.333,0.478
1.9,0.306,0.497
0.6,0.368,0.435
-0.4,0.278,0.272
0.1,0.324,0.437
-0.5,0.24,0.341
4.3,0.329,0.419
2.2,0.307,0.495
0.0,0.235,0.071
0.0,0.0,0.0
0.4,0.319,0.34
1.2,0.321,0.459
0.2,0.349,0.311
-0.3,0.267,0.192
2.0,0.335,0.454
-0.6,0.283,0.354
-0.2,0.241,0.221
0.0,0.111,0.444
-0.5,0.26,0.192
1.9,0.34,0.471
-0.2,0.284,0.265
0.2,0.288,0.397
0.3,0.524,0.778
-0.2,0.347,0.295
2.2,0.339,0.454
-0.4,0.296,0.311
2.6,0.355,0.509
2.0,0.315,0.352
0.8,0.294,0.438
0.0,0.289,0.325
-0.1,0.2,0.2
2.6,0.381,0.459
0.1,0.282,0.376
0.3,0.263,0.287
0.5,0.303,0.338
0.5,0.328,0.378
0.7,0.334,0.384
0.0,0.311,0.453
2.2,0.367,0.49
1.4,0.326,0.42
1.2,0.304,0.457
-0.1,0.275,0.352
0.3,0.311,0.429
0.7,0.304,0.385
0.0,0.27,0.333
1.2,0.322,0.48
-0.2,0.19,0.211
-0.3,0.16,0.16
-0.8,0.215,0.308
-0.5,0.297,0.322
-0.2,0.25,0.0
2.2,0.37,0.507
0.0,0.0,0.0
-0.3,0.342,0.4
-0.2,0.263,0.303
0.9,0.325,0.413
0.2,0.301,0.394
3.7,0.357,0.507
1.0,0.385,0.5
2.1,0.37,0.5
-0.6,0.281,0.385
-0.3,0.053,0.053
1.4,0.316,0.409
-0.6,0.297,0.416
-0.1,0.167,0.167
-0.2,0.268,0.277
2.6,0.312,0.421
-0.2,0.154,0.154
0.0,0.288,0.343
-1.1,0.232,0.24
0.5,0.295,0.422
0.6,0.322,0.336
3.7,0.335,0.5
-0.1,0.314,0.433
-0.2,0.185,0.319
2.4,0.343,0.32
1.5,0.339,0.47
0.8,0.267,0.34
-0.8,0.153,0.125
-0.3,0.31,0.358
-0.3,0.244,0.316
0.1,0.333,0.308
0.3,0.317,0.452
-0.1,0.34,0.394
1.9,0.278,0.442
1.6,0.365,0.498
0.8,0.285,0.359
0.4,0.325,0.419
-0.3,0.274,0.413
1.7,0.267,0.494
0.3,0.258,0.348
2.1,0.328,0.452
0.0,0.308,0.182
-0.5,0.28,0.33
0.1,0.329,0.333
0.6,0.343,0.474
0.5,0.308,0.301
0.1,0.402,0.33
0.1,0.417,0.222
0.9,0.324,0.443
-0.8,0.275,0.323
-0.3,0.303,0.242
-0.1,0.255,0.465
0.2,0.383,0.316
-0.2,0.27,0.248
-1.4,0.299,0.336
-0.6,0.257,0.283
-0.5,0.264,0.284
2.9,0.317,0.438
0.7,0.304,0.363
1.8,0.326,0.307
-0.3,0.333,0.258
4.3,0.339,0.408
1.6,0.312,0.474
-0.4,0.111,0.111
-0.3,0.0,0.0
-0.7,0.313,0.347
2.6,0.333,0.475
0.8,0.323,0.475
-0.1,0.3,0.357
-0.4,0.13,0.174
1.1,0.356,0.491
0.0,0.31,0.208
0.0,0.296,0.383
-0.4,0.316,0.398
1.0,0.312,0.378
6.9,0.39,0.623
-0.5,0.271,0.306
-0.3,0.188,0.21
2.6,0.337,0.504
0.0,0.297,0.399
-0.2,0.333,0.286
3.8,0.324,0.381
4.4,0.33,0.424
1.2,0.335,0.538
2.1,0.328,0.443
4.8,0.328,0.416
-0.4,0.212,0.292
0.8,0.3,0.41
-0.2,0.125,0.188
0.1,0.279,0.321
0.5,0.267,0.446
0.0,0.283,0.297
0.0,0.0,0.0
-0.2,0.217,0.182
2.1,0.282,0.38
3.4,0.32,0.459
-0.1,0.282,0.289
2.2,0.355,0.4
-1.1,0.273,0.364
-0.3,0.227,0.171
3.4,0.363,0.447
5.4,0.362,0.506
1.9,0.343,0.457
4.2,0.352,0.488
-0.2,0.248,0.306
0.1,0.25,0.216
1.4,0.338,0.407
1.0,0.33,0.42
3.7,0.401,0.499
0.2,0.34,0.368
0.4,0.305,0.378
0.7,0.318,0.382
-0.1,0.289,0.357
-0.1,0.25,0.222
-1.9,0.277,0.279
0.6,0.274,0.348
1.2,0.324,0.452
1.8,0.328,0.375
-0.4,0.208,0.376
0.0,0.25,0.5
-0.2,0.206,0.129
2.5,0.287,0.408
-0.4,0.236,0.315
0.0,0.273,0.3
8.2,0.416,0.596
-0.7,0.213,0.167
-0.4,0.0,0.0
2.9,0.347,0.453
1.2,0.341,0.351
4.4,0.356,0.525
-0.2,0.244,0.329
0.0,0.281,0.386
-0.1,0.304,0.381
0.1,0.298,0.426
2.7,0.309,0.411
0.2,0.303,0.677
-0.4,0.304,0.351
0.2,0.32,0.406
0.7,0.286,0.444
5.5,0.41,0.519
0.3,0.409,0.351
-0.6,0.232,0.211
0.0,0.281,0.467
0.5,0.301,0.44
1.7,0.321,0.461
-1.5,0.224,0.284
-0.2,0.231,0.267
-1.1,0.256,0.242
-0.2,0.125,0.25
0.7,0.35,0.441
-0.4,0.241,0.197
-0.4,0.256,0.397
1.3,0.363,0.44
-0.2,0.268,0.348
-0.2,0.3,0.222
3.5,0.364,0.425
-0.1,0.296,0.257
-0.4,0.322,0.353
0.7,0.293,0.427
5.1,0.346,0.383
0.3,0.306,0.325
-0.1,0.288,0.327
1.8,0.341,0.512
0.5,0.31,0.368
1.3,0.308,0.409
0.0,0.3,0.476
0.0,0.322,0.325
-0.2,0.268,0.369
0.2,0.339,0.404
0.4,0.267,0.456
2.1,0.305,0.435
2.6,0.324,0.421
0.1,0.244,0.284
2.8,0.357,0.485
-0.1,0.233,0.429
0.3,0.341,0.385
1.0,0.331,0.476
-0.1,0.253,0.305
2.3,0.315,0.416
-0.7,0.285,0.294
5.1,0.356,0.475
3.3,0.283,0.383
2.5,0.354,0.489
0.6,0.304,0.358
-0.1,0.294,0.647
2.5,0.325,0.444
